what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600071238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600076229
error,log,,,"Program is not a recognized executable.",1314600079444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600079652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600083980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600087707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600117633
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314600117879
error,log,,,"Program is not a recognized executable.",1314600118578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600118827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600120578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600128503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600129574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600131184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600393889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600402166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600520768
error,log,,,"Program is not a recognized executable.",1314600523222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600523690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600526230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600534363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600536967
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1314600537120
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314600541717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600542129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600557118
error,log,,,"Program is not a recognized executable.",1314600561431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600561652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600567754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600590804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600594164
